# Bootstrap waypoints for FC clear/prime only (not flown as the real mission).
# Format: lat, lon, alt_above_takeoff_m, yaw_rad
# Alt default 20 m — change if your takeoff-relative height differs.

# Either (outer ring)
30.392675425999663, -97.72818196452562, 20, -1.5707963267948966   # Either_c0
30.392757613055327, -97.7282214310939, 20, -0.7853981633535454    # Either_c1
30.39279165602819, -97.72831671181824, 20, 0.0                    # Either_c2
30.392757613055327, -97.72841199254259, 20, 0.7853981633535454    # Either_c3
30.392675425999663, -97.72845145911086, 20, 1.5707963267948966    # Either_c4
30.392593238874863, -97.72841199254259, 20, 2.356194490236248     # Either_c5
30.392559195832842, -97.72831671181824, 20, 3.141592653589793     # Either_c6
30.392593238874863, -97.7282214310939, 20, -2.356194490236248     # Either_c7

# Either (inner ring)
30.392763066946582, -97.72835647697502, 20, -1.5707963267948966   # Either_c0
30.39284525392851, -97.7283959435433, 20, -0.7853981633535454     # Either_c1
30.392879296870813, -97.72849122426766, 20, 0.0                   # Either_c2
30.39284525392851, -97.728586504992, 20, 0.7853981633535454       # Either_c3
30.392763066946582, -97.72862597156028, 20, 1.5707963267948966    # Either_c4
30.392680879895494, -97.728586504992, 20, 2.356194490236248       # Either_c5
30.392646836884033, -97.72849122426766, 20, 3.141592653589793     # Either_c6
30.392680879895494, -97.7283959435433, 20, -2.356194490236248     # Either_c7

# Both_aerial
30.392880517047438, -97.72831033904733, 20, -1.5707963267948966   # Both_aerial_c0
30.392962703930564, -97.72834980561561, 20, -0.7853981633535454   # Both_aerial_c1
30.39299674683193, -97.72844508633996, 20, 0.0                    # Both_aerial_c2
30.392962703930564, -97.7285403670643, 20, 0.7853981633535454     # Both_aerial_c3
30.392880517047438, -97.72857983363258, 20, 1.5707963267948966    # Both_aerial_c4
30.39279833009518, -97.7285403670643, 20, 2.356194490236248       # Both_aerial_c5
30.392764287124656, -97.72844508633996, 20, 3.141592653589793     # Both_aerial_c6
30.39279833009518, -97.72834980561561, 20, -2.356194490236248     # Both_aerial_c7
